DDI-DrugBank.d481.s0|82-86|EMCYT|brand
DDI-DrugBank.d10.s0|21-29|Betaseron|brand
DDI-DrugBank.d10.s1|29-35|examine|drug
DDI-DrugBank.d10.s1|111-114|ACTH|brand
DDI-DrugBank.d10.s1|202-206|N=180|brand
DDI-DrugBank.d10.s1|219-227|Betaseron|brand
DDI-DrugBank.d10.s2|0-8|Betaseron|brand
DDI-DrugBank.d10.s2|128-137|antipyrine|drug
DDI-DrugBank.d10.s2|211-219|Betaseron|brand
DDI-DrugBank.d10.s2|243-244|MS|brand
DDI-MedLine.d69.s0|27-34|tyrosine|drug
DDI-MedLine.d69.s0|101-111|disintegrin|drug
DDI-MedLine.d69.s1|16-26|disintegrin|drug
DDI-MedLine.d69.s1|156-163|tyrosine|drug
DDI-MedLine.d69.s2|66-73|tyrosine|drug
DDI-MedLine.d69.s2|109-116|proteins|group
DDI-MedLine.d69.s2|121-123|T24|brand
DDI-MedLine.d69.s2|202-209|proteins|group
DDI-MedLine.d69.s3|34-41|tyrosine|drug
DDI-MedLine.d69.s3|62-64|T24|brand
DDI-MedLine.d69.s4|10-17|proteins|group
DDI-MedLine.d69.s4|32-39|tyrosine|drug
DDI-MedLine.d69.s4|101-103|CAS|brand
DDI-MedLine.d69.s5|48-50|CAS|brand
DDI-MedLine.d69.s5|137-146|MDA-MB-435|brand
DDI-MedLine.d69.s6|152-162|disintegrin|drug
DDI-DrugBank.d419.s0|33-43|allopurinol|drug
DDI-DrugBank.d419.s0|49-58|ampicillin|drug
DDI-DrugBank.d419.s0|175-184|ampicillin|drug
DDI-DrugBank.d419.s1|45-54|ampicillin|drug
DDI-DrugBank.d419.s1|73-83|allopurinol|drug
DDI-DrugBank.d419.s2|33-41|AUGMENTIN|brand
DDI-DrugBank.d419.s2|43-44|XR|brand
DDI-DrugBank.d419.s2|80-90|allopurinol|drug
DDI-DrugBank.d419.s2|96-104|AUGMENTIN|brand
DDI-DrugBank.d419.s2|106-107|XR|brand
DDI-DrugBank.d419.s4|126-134|AUGMENTIN|brand
DDI-DrugBank.d419.s4|136-137|XR|brand
DDI-DrugBank.d419.s4|143-153|allopurinol|drug
DDI-DrugBank.d419.s5|49-57|AUGMENTIN|brand
DDI-DrugBank.d419.s5|59-60|XR|brand
DDI-MedLine.d125.s1|77-81|major|brand
DDI-MedLine.d125.s2|50-50|A|brand
DDI-MedLine.d125.s2|53-55|ATP|drug
DDI-MedLine.d125.s3|53-56|body|brand
DDI-MedLine.d125.s3|183-190|fluoride|brand
DDI-MedLine.d125.s4|142-149|fluoride|brand
DDI-MedLine.d125.s6|24-39|4-methylpyrazole|drug
DDI-MedLine.d125.s6|55-58|body|brand
DDI-MedLine.d125.s6|81-87|prevent|brand
DDI-MedLine.d125.s6|146-149|body|brand
DDI-MedLine.d125.s6|217-224|fluoride|brand
DDI-MedLine.d125.s7|27-42|4-methylpyrazole|drug
DDI-MedLine.d125.s7|58-61|body|brand
DDI-MedLine.d125.s7|131-134|body|brand
DDI-MedLine.d125.s7|231-238|fluoride|brand
DDI-MedLine.d125.s8|62-77|4-methylpyrazole|drug
DDI-DrugBank.d234.s1|52-60|ROMAZICON|brand
DDI-DrugBank.d234.s1|85-93|narcotics|group
DDI-DrugBank.d234.s1|109-119|anesthetics|group
DDI-DrugBank.d234.s1|122-127|muscle|brand
DDI-DrugBank.d234.s1|143-148|muscle|brand
DDI-DrugBank.d234.s2|43-51|ROMAZICON|brand
DDI-DrugBank.d234.s2|263-276|benzodiazepine|drug
DDI-DrugBank.d234.s2|288-297|flumazenil|drug
DDI-DrugBank.d234.s3|11-19|ROMAZICON|brand
DDI-DrugBank.d234.s3|86-99|benzodiazepine|drug
DDI-DrugBank.d234.s4|9-17|ROMAZICON|brand
DDI-DrugBank.d234.s4|121-134|benzodiazepine|drug
DDI-DrugBank.d234.s5|0-8|ROMAZICON|brand
DDI-DrugBank.d234.s6|45-58|benzodiazepine|drug
DDI-DrugBank.d234.s6|79-87|zopiclone|drug
DDI-DrugBank.d234.s6|142-150|ROMAZICON|brand
DDI-DrugBank.d234.s7|73-82|flumazenil|drug
DDI-DrugBank.d234.s8|48-54|ethanol|drug
