Metrx            	  tp	  fp	  fn	#pred	#exp	P	R	F1
------------------------------------------------------------------------------
brand            	 291	   8	  83	 299	 374	97.3%	77.8%	86.5%
drug             	1664	 103	 242	1767	1906	94.2%	87.3%	90.6%
drug_n           	  10	   4	  35	  14	  45	71.4%	22.2%	33.9%
group            	 576	  70	 111	 646	 687	89.2%	83.8%	86.4%
------------------------------------------------------------------------------
M.avg            	-	-	-	-	-	88.0%	67.8%	74.4%
------------------------------------------------------------------------------
m.avg            	2541	 185	 471	2726	3012	93.2%	84.4%	88.6%
m.avg(no class)  	2599	 127	 413	2726	3012	95.3%	86.3%	90.6%
